Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
515.25	0.00030800	0.01306401	-1.20467218
515.71	0.00041841	0.01619780	-1.00535571
516.16	0.00062040	0.01882443	-1.01381533
516.62	0.00083124	0.02094005	-1.08555039
517.08	0.00093400	0.02143957	-1.17078663
517.54	0.00095342	0.01972799	-1.24221050
517.99	0.00106072	0.01766445	-1.31352393
518.45	0.00129355	0.01661210	-1.39159268
518.91	0.00165485	0.01705746	-1.47058705
519.37	0.00206924	0.01796678	-1.51928650
519.82	0.00221935	0.01879214	-1.51135314
520.28	0.00206135	0.01949984	-1.44095669
520.74	0.00199950	0.02051578	-1.37062608
521.19	0.00216200	0.02215048	-1.35703067
521.65	0.00240399	0.02439991	-1.39726935
522.11	0.00262789	0.02709702	-1.45816737
522.57	0.00258652	0.03081507	-1.51631544
523.02	0.00226034	0.03482672	-1.57467129
523.48	0.00198254	0.03799020	-1.63912215
523.94	0.00179879	0.03852482	-1.72043789
524.39	0.00159343	0.03686477	-1.80595071
524.85	0.00150401	0.03391027	-1.88299266
525.31	0.00159127	0.02889017	-1.93205965
525.76	0.00168110	0.02349100	-1.95415525
526.22	0.00160526	0.01979745	-1.95809536
526.68	0.00143759	0.02279887	-1.92828167
527.14	0.00143218	0.02989231	-1.88720161
527.59	0.00153525	0.03726039	-1.85929559
528.05	0.00159824	0.04016921	-1.89048824
528.51	0.00174332	0.03958775	-1.95932120
528.96	0.00198198	0.03766597	-2.03554690
529.42	0.00215752	0.03530132	-2.08696447
529.88	0.00220923	0.03301311	-2.10285727
530.33	0.00217059	0.03120024	-2.12328975
530.79	0.00202127	0.03121572	-2.15805277
531.25	0.00168030	0.03280934	-2.21010110
531.70	0.00136407	0.03489257	-2.26481121
532.16	0.00145444	0.03658734	-2.31537194
532.62	0.00178783	0.03772180	-2.36473759
533.07	0.00191180	0.03878240	-2.41683889
533.53	0.00179823	0.04004975	-2.48341890
533.98	0.00164874	0.04154240	-2.57133772
534.44	0.00148657	0.04277721	-2.65132251
534.90	0.00139078	0.04327751	-2.71558463
535.35	0.00160772	0.04273137	-2.74461658
535.81	0.00207558	0.04192507	-2.76578567
536.27	0.00237972	0.04134939	-2.78009192
536.72	0.00226970	0.04169142	-2.80513675
537.18	0.00194740	0.04184320	-2.82141207
537.64	0.00169290	0.04126262	-2.84065964
538.09	0.00144096	0.03782793	-2.87364452
538.55	0.00117263	0.03474223	-2.90769415
539.00	0.00112837	0.03314251	-2.94576080
539.46	0.00133592	0.03844623	-2.97907787
539.92	0.00150129	0.04509019	-3.01059739
540.37	0.00151142	0.05080520	-3.04034154
540.83	0.00157071	0.04970747	-3.06930894
541.28	0.00166882	0.04504017	-3.09752152
541.74	0.00168022	0.03956565	-3.11132918
542.20	0.00179841	0.03571535	-3.09903484
542.65	0.00210084	0.03405393	-3.06944910
543.11	0.00234878	0.03415405	-3.04114803
543.56	0.00246426	0.03756504	-3.03661384
544.02	0.00245663	0.04473883	-3.07344581
544.48	0.00230712	0.05206630	-3.11455557
544.93	0.00211076	0.05720797	-3.15019838
545.39	0.00191019	0.05567277	-3.15305126
545.84	0.00179238	0.05287957	-3.14950204
546.30	0.00180050	0.05018415	-3.14250090
546.75	0.00178524	0.05250770	-3.14085732
547.21	0.00183338	0.05585542	-3.14263843
547.67	0.00208623	0.05876163	-3.13614562
548.12	0.00238990	0.05770421	-3.12042237
548.58	0.00261687	0.05412970	-3.09841827
549.03	0.00274350	0.05055244	-3.07405935
549.49	0.00281277	0.04919656	-3.04345904
549.94	0.00291910	0.05130563	-3.01933220
550.40	0.00300061	0.05462484	-2.98900296
550.85	0.00299166	0.05867538	-2.96225625
551.31	0.00296563	0.06300752	-2.93911129
551.77	0.00293251	0.06707562	-2.91763403
552.22	0.00289683	0.07037226	-2.89686690
552.68	0.00291962	0.07063013	-2.86901625
553.13	0.00293916	0.06953260	-2.83410084
553.59	0.00286837	0.06846170	-2.79311588
554.04	0.00279371	0.06945862	-2.73338457
554.50	0.00276777	0.07303944	-2.64711283
554.95	0.00276763	0.07686519	-2.56947524
555.41	0.00290886	0.08001088	-2.50830248
555.86	0.00321915	0.08008285	-2.49876891
556.32	0.00350871	0.07946186	-2.50866595
556.77	0.00353849	0.07860682	-2.51066772
557.23	0.00325463	0.07853609	-2.47256545
557.68	0.00289310	0.07908121	-2.41000179
558.14	0.00265763	0.08003081	-2.34447870
558.59	0.00259912	0.08163047	-2.29847457
559.05	0.00267280	0.08402491	-2.27688957
559.50	0.00275212	0.08642908	-2.26411596
559.96	0.00282543	0.08850913	-2.25528808
560.41	0.00289620	0.08877942	-2.22796205
560.87	0.00285489	0.08856876	-2.19680325
561.32	0.00280387	0.08836315	-2.16671136
561.78	0.00299715	0.08920839	-2.14453907
562.23	0.00333842	0.09116946	-2.13030304
