x, y
262.33090530697194, 5.880681818181819
268.5744016649324, 5.607954545454546
274.81789802289285, 5.403409090909092
282.62226847034344, 5.062500000000001
293.54838709677426, 4.772727272727273
307.59625390218525, 4.397727272727274
326.3267429760666, 4.107954545454548
346.6181061394381, 3.8693181818181834
370.03121748178984, 3.6818181818181817
396.56607700312173, 3.562500000000002
432.46618106139437, 3.4431818181818197
471.4880332986472, 3.3920454545454546
505.82726326742977, 3.3579545454545463
540.1664932362123, 3.3409090909090926
574.5057232049948, 3.306818181818183
607.2840790842872, 3.2727272727272734
654.1103017689906, 3.2556818181818192
699.3756503642039, 3.2386363636363638
744.6409989594172, 3.22159090909091
788.3454734651403, 3.1875000000000018
832.0499479708635, 3.170454545454548
875.754422476587, 3.153409090909091
914.7762747138398, 3.1363636363636367
956.9198751300729, 3.1363636363636367
956.9198751300729, 3.1193181818181825
995.9417273673258, 3.102272727272729
1034.9635796045786, 3.0852272727272747
1073.9854318418315, 3.0681818181818192
1120.8116545265348, 3.0340909090909114
1161.3943808532779, 3.0340909090909114
1201.9771071800208, 3.0340909090909114
1240.9989594172737, 3.0170454545454555
1281.5816857440166, 2.965909090909092
1328.40790842872, 2.965909090909092
1372.1123829344433, 2.965909090909092
1422.060353798127, 2.948863636363638
1465.7648283038502, 2.948863636363638
1509.4693028095733, 2.9318181818181843
1548.4911550468262, 2.897727272727273
