Photon Energy (eV) 	 Spectral Intensity(a.u.) 

1.5917032718504	0.27673039392346
1.75087359903544	0.297827356160024
1.91004392622048	0.27535293799459
2.06921425340552	0.24009907050942
2.22838458059056	0.206469967020233
2.3875549077756	0.17826730854234
2.54672523496065	0.158511641281535
2.70589556214569	0.150184439129405
2.86506588933073	0.150476885285917
3.02423621651577	0.157481207161077
3.18340654370081	0.169276037438976
3.34257687088585	0.183518373181755
3.50174719807089	0.196769853773515
3.66091752525593	0.208264900382944
3.82008785244097	0.217243361269845
3.97925817962601	0.223464826727647
4.13842850681105	0.227143274067822
4.29759883399609	0.228178832148153
4.45676916118113	0.226927912102093
4.61593948836617	0.224007389764509
4.77510981555121	0.219574722828362
4.93428014273625	0.213861343212374
5.09345046992129	0.20729907503833
5.25262079710633	0.199959343068395
5.41179112429137	0.192011489090475
5.57096145147641	0.18344990609145
5.73013177866145	0.174267005503347
5.88930210584649	0.164480698142357
6.04847243303153	0.154079267939046
6.20764276021657	0.143334566503436
6.36681308740161	0.131933198574211
6.52598341458665	0.120054785961608
6.68515374177169	0.107985502860103
6.84432406895673	0.0957700351415496
7.00349439614177	0.0785393555989488
7.16266472332681	0.0519642002433628
7.32183505051185	0.0295835056424464
7.48100537769689	0.0160840761114512
7.64017570488194	0.00961667487544841
7.79934603206697	0.00815133291991102
7.95851635925201	0.00839963299945726
8.11768668643706	0.00853999285205456
8.2768570136221	0.00877022534711244
8.43602734080713	0.00981093590645763
8.59519766799218	0.0106983657605293
8.75436799517722	0.0107380430390851
8.91353832236226	0.00982384209772014
9.0727086495473	0.00440905246968179
9.23187897673234	0.000717165036274863
9.39104930391738	0.000139257184615463
9.55021963110242	4.40176215245103e-05
9.70938995828746	2.12305195559175e-05
9.8685602854725	1.55495482374282e-05
10.0277306126575	1.5386360260031e-05
10.1869009398426	1.73817493479355e-05
10.3460712670276	1.90663548170042e-05
10.5052415942127	2.08118909085186e-05
10.6644119213977	2.2858253479731e-05
10.8235822485827	2.53625531483304e-05
10.9827525757678	2.74343440664773e-05
11.1419229029528	2.62780858545749e-05
11.3010932301379	2.39141732586585e-05
11.4602635573229	2.19117713307644e-05
11.6194338845079	2.02377158592236e-05
11.778604211693	1.88490514832382e-05
11.937774538878	1.76873877184085e-05
12.0969448660631	1.65550703368953e-05
12.2561151932481	1.54698561524519e-05
12.4152855204331	1.4512204141764e-05
12.5744558476182	1.36834361130099e-05
12.7336261748032	1.29685473580714e-05
12.8927965019883	1.23574898848247e-05
13.0519668291733	1.17491890233055e-05
13.2111371563583	1.11397106719516e-05
13.3703074835434	1.05836118832869e-05
13.5294778107284	1.01013684076411e-05
13.6886481379135	9.68539961788503e-06
13.8478184650985	9.33740345180663e-06
14.0069887922835	8.99027291260904e-06
14.1661591194686	8.61057880177792e-06
14.3253294466536	8.23856206819924e-06
14.4844997738387	7.91647166795881e-06
14.6436701010237	7.64214650272758e-06
14.8028404282087	7.4152272644364e-06
14.9620107553938	7.18550531546761e-06
15.1211810825788	6.8820131865023e-06
15.2803514097639	6.52456992770532e-06
15.4395217369489	6.2102432737116e-06
15.5986920641339	5.94002794505637e-06
15.757862391319	5.70562723581194e-06
15.917032718504	5.48874826610711e-06
16.0762030456891	5.20692427726921e-06
16.2353733728741	4.81918460638118e-06
16.3945437000592	4.47388251309398e-06
16.5537140272442	4.16705783217711e-06
16.7128843544292	3.8923589279058e-06
16.8720546816143	3.64634641690652e-06
17.0312250087993	3.40471005219893e-06
17.1903953359843	3.12549464909289e-06
17.3495656631694	2.87402622556719e-06
17.5087359903544	2.64846778696818e-06
17.6679063175395	2.4458520065769e-06
17.8270766447245	2.26370927573915e-06
17.9862469719096	2.09307645305888e-06
18.1454172990946	1.89233471347e-06
18.3045876262796	1.7049161355275e-06
18.4637579534647	1.53702087575366e-06
18.6229282806497	1.3874353910175e-06
18.7820986078348	1.25405549478783e-06
18.9412689350198	1.13507930082136e-06
19.1004392622048	1.04232107703003e-06
19.2596095893899	9.62277538246902e-07
19.4187799165749	8.90555958121318e-07
19.57795024376	8.25166120101186e-07
19.737120570945	7.65504397247758e-07
19.89629089813	7.11216733030529e-07
20.0554612253151	6.70370342692423e-07
20.2146315525001	6.38779648836848e-07
20.3738018796852	6.12278234800233e-07
20.5329722068702	5.88009494909768e-07
20.6921425340552	5.6583280425614e-07
20.8513128612403	5.45779746805998e-07
21.0104831884253	5.16462127841708e-07
21.1696535156104	4.77234664653027e-07
21.3288238427954	4.34176408563419e-07
21.4879941699804	3.95708772621423e-07
21.6471644971655	3.61522609342905e-07
21.8063348243505	3.30993847223998e-07
21.9655051515356	3.01400833268232e-07
22.1246754787206	2.70872796461086e-07
22.2838458059056	2.39867332778587e-07
22.4430161330907	2.12738307602756e-07
22.6021864602757	1.89075184841118e-07
22.7613567874608	1.68299611139557e-07
22.9205271146458	1.49406308848477e-07
23.0796974418308	1.30899416766528e-07
23.2388677690159	1.11559776641997e-07
23.3980380962009	9.51909218435533e-08
23.557208423386	8.12698140797025e-08
23.716378750571	6.94108584862766e-08
23.875549077756	5.92792549920358e-08
24.0347194049411	5.04325668450587e-08
24.1938897321261	4.20275419815308e-08
24.3530600593112	3.50382261168276e-08
24.5122303864962	2.91992970479159e-08
24.6714007136812	2.43228919247038e-08
24.8305710408663	2.02524351004843e-08
24.9897413680513	1.68640359891776e-08
25.1489116952364	1.43724914536626e-08
25.3080820224214	1.22626304631221e-08
25.4672523496064	1.04622169504595e-08
25.6264226767915	8.92231594503684e-09
25.7855930039765	7.60565846250839e-09
25.9447633311616	6.48296088377953e-09
26.1039336583466	5.57798141036894e-09
26.2631039855317	4.81117335875673e-09
26.4222743127167	4.15164990522727e-09
26.5814446399017	3.58083992686525e-09
26.7406149670868	3.08702492083332e-09
26.8997852942718	2.66193846660018e-09
27.0589556214568	2.28580701227982e-09
27.2181259486419	1.95676001093402e-09
27.3772962758269	1.67193993866442e-09
27.536466603012	1.42743066613712e-09
27.695636930197	1.21825391462513e-09
27.8548072573821	1.03917991224923e-09
28.0139775845671	8.96140157906138e-10
28.1731479117521	7.8262978857197e-10
28.3323182389372	6.89653947361569e-10
28.4914885661222	6.07622249261262e-10
28.6506588933073	5.35485664521055e-10
28.8098292204923	4.7182158750483e-10
28.9689995476773	3.26534591232144e-10
29.1281698748624	1.44687022151892e-10
29.2873402020474	3.58717921249457e-11
29.4465105292325	2.73972537517102e-11
29.6056808564175	2.41378045820591e-11
29.7648511836025	2.18788808294862e-11
29.9240215107876	1.98491026178786e-11
30.0831918379726	1.80247035001684e-11
30.2423621651577	1.63875618012506e-11
30.4015324923427	1.49222789296021e-11
30.5607028195277	1.36031524336881e-11
30.7198731467128	1.24150093619946e-11
30.8790434738978	1.13442681853798e-11
31.0382138010829	1.03787252093327e-11
31.1973841282679	9.51159897488458e-12
31.3565544554529	8.72990359376934e-12
31.515724782638	8.0223997555233e-12
31.674895109823	7.38144315423857e-12
31.8340654370081	6.80061573027067e-12
