E,Rs,Rp,phiRs,phiRp
12.5,0.55957444,0.14008285,-170.0519,-2.0287591
12.6,0.56139965,0.14260481,-169.80338,-2.5201408
12.7,0.56330833,0.1451759,-169.5593,-2.9985181
12.8,0.56529832,0.14780003,-169.31958,-3.465018
12.9,0.56736683,0.1504777,-169.08416,-3.9199194
13,0.56951039,0.1532072,-168.85323,-4.3635255
13.1,0.57082928,0.15589127,-168.63165,-4.5761179
13.2,0.57222815,0.15862384,-168.41219,-4.786275
13.3,0.57370813,0.16140066,-168.19522,-4.9946404
13.4,0.5752694,0.16422874,-167.98057,-5.2018895
13.5,0.57691058,0.16710965,-167.7683,-5.4080206
13.6,0.5785639,0.16962517,-167.56697,-5.5804812
13.7,0.58028909,0.17220819,-167.36754,-5.7541146
13.8,0.58208809,0.17486787,-167.16989,-5.9294669
13.9,0.58395607,0.17759628,-166.97457,-6.1060623
14,0.58589717,0.18040769,-166.78122,-6.2847501
14.1,0.58719049,0.18306826,-166.58288,-6.320302
14.2,0.58856524,0.18585231,-166.38458,-6.3613268
14.3,0.59002224,0.18875432,-166.18697,-6.4080388
14.4,0.59156447,0.19178619,-165.98996,-6.4606607
14.5,0.59319251,0.19495083,-165.79378,-6.519062
14.6,0.59478797,0.1970014,-165.61722,-6.563531
14.7,0.59643523,0.1993605,-165.43805,-6.6001045
14.8,0.59813892,0.20204634,-165.25624,-6.6279808
14.9,0.59990639,0.2050796,-165.07165,-6.6466696
15,0.60173723,0.20846197,-164.88489,-6.6553171
15.1,0.60272146,0.21158885,-164.68092,-6.5346492
15.2,0.6037263,0.21490645,-164.47502,-6.3860505
15.3,0.60485721,0.21808245,-164.2738,-6.2733281
15.4,0.6059496,0.22123914,-164.07267,-6.1109782
15.5,0.60719718,0.22435678,-163.87535,-5.9957393
15.6,0.60848293,0.22733713,-163.68131,-5.8767228
15.7,0.60980056,0.23028421,-163.48884,-5.7456101
15.8,0.611237,0.23340418,-163.29689,-5.6346565
15.9,0.61268098,0.23639648,-163.10746,-5.5054921
16,0.61420603,0.23948384,-162.9191,-5.3825293
16.1,0.61440123,0.24207435,-162.72216,-5.0643311
16.2,0.61461961,0.24458125,-162.52539,-4.7373297
16.3,0.61490666,0.24711653,-162.32859,-4.4158842
16.4,0.61521764,0.24953601,-162.13244,-4.0852132
16.5,0.61556825,0.25184684,-161.9372,-3.753329
16.6,0.61595461,0.25403573,-161.74291,-3.4192495
16.7,0.61636551,0.25608947,-161.54923,-3.0766944
16.8,0.61692654,0.25810358,-161.35963,-2.796268
16.9,0.61753151,0.25999148,-161.17143,-2.5214003
17,0.61816503,0.26172981,-160.98451,-2.2449345
17.1,0.618014,0.26271138,-160.8028,-1.8836684
17.2,0.61787907,0.26352317,-160.62162,-1.5219167
17.3,0.61784056,0.26449294,-160.43971,-1.1791381
17.4,0.61786373,0.26546359,-160.25786,-0.84786417
17.5,0.61793603,0.266383,-160.07643,-0.52502598
17.6,0.61805574,0.26724649,-159.89525,-0.2098016
17.7,0.61821792,0.26803396,-159.71441,0.09878921
17.8,0.61843254,0.26878749,-159.53404,0.39778588
17.9,0.61869096,0.26947301,-159.35413,0.68953681
18,0.6190012,0.27012778,-159.17444,0.97214452
18.1,0.61837519,0.26996106,-158.99929,1.3341642
18.2,0.61777562,0.2697136,-158.8238,1.6883501
18.3,0.6172116,0.26940729,-158.64794,2.0334977
18.4,0.61668547,0.26904762,-158.47192,2.3679853
18.5,0.61620254,0.26866277,-158.29567,2.6905617
18.6,0.61575077,0.26819541,-158.11933,3.0029398
18.7,0.61534065,0.26769715,-157.94283,3.3022582
18.8,0.61496312,0.26712861,-157.76624,3.5900999
18.9,0.61462596,0.26652767,-157.58964,3.863974
19,0.61432418,0.2658738,-157.41302,4.1238457
19.1,0.61399831,0.2642571,-157.28612,4.2988488
19.2,0.6137014,0.26265377,-157.15974,4.4587775
19.3,0.61343222,0.26106539,-157.03375,4.6030692
19.4,0.61317479,0.25941965,-156.90815,4.7327601
19.5,0.61294518,0.25780443,-156.78292,4.8463385
19.6,0.61273386,0.25617879,-156.65814,4.943805
19.7,0.61254681,0.25458187,-156.53369,5.0252727
19.8,0.61237531,0.25297743,-156.4097,5.0908495
19.9,0.61222688,0.2514108,-156.28621,5.1388983
20,0.61210913,0.24992808,-156.16309,5.1711726
20.1,0.61280145,0.24907422,-156.03154,5.135639
20.2,0.61353346,0.24831126,-155.90095,5.082993
20.3,0.61428147,0.24755756,-155.77141,5.0130113
20.4,0.61505028,0.24684351,-155.6427,4.9278289
20.5,0.61584874,0.24622583,-155.51515,4.8261561
20.6,0.61668167,0.2457323,-155.38855,4.7098713
20.7,0.61751102,0.24519519,-155.26287,4.5764994
20.8,0.618394,0.24489376,-155.13847,4.430905
20.9,0.61927372,0.24457029,-155.01494,4.2688264
21,0.62018761,0.24440955,-154.8926,4.0940819
21.1,0.62022997,0.2447771,-154.70522,4.0829081
21.2,0.62031341,0.24529874,-154.51769,4.0614861
21.3,0.62043576,0.24593376,-154.33032,4.0297626
21.4,0.62060591,0.24673344,-154.1433,3.9886007
21.5,0.62082114,0.24768255,-153.95667,3.9401036
21.6,0.62108514,0.24879666,-153.77039,3.8864328
21.7,0.62141275,0.25013195,-153.5847,3.8318526
21.8,0.62178119,0.25160269,-153.39946,3.7729101
21.9,0.62218846,0.25320602,-153.2146,3.7100856
22,0.62264367,0.25497315,-153.0304,3.6465328
22.1,0.62239651,0.25667411,-152.82907,3.6769687
22.2,0.62217703,0.25847824,-152.62722,3.7063595
22.3,0.62202873,0.26047922,-152.42529,3.7447942
